,Crop,N,P,K,pH
0,rice,80,40,40,5.5
1,rice,80,40,40,5.52
2,rice,80,40,40,5.54
3,rice,80,40,40,5.56
4,rice,80,40,40,5.58
5,rice,80,40,40,5.6
6,rice,80,40,40,5.62
7,rice,80,40,40,5.64
8,rice,80,40,40,5.66
9,rice,80,40,40,5.68
10,rice,80,40,40,5.48
11,rice,80,40,40,5.46
12,rice,80,40,40,5.44
13,rice,80,40,40,5.42
14,rice,80,40,40,5.4
15,rice,80,40,40,5.38
16,rice,80,40,40,5.36
17,rice,80,40,40,5.34
18,rice,80,40,40,5.32
19,maize,80,40,20,5.5
20,maize,80,40,20,5.52
21,maize,80,40,20,5.54
22,maize,80,40,20,5.56
23,maize,80,40,20,5.58
24,maize,80,40,20,5.6
25,maize,80,40,20,5.62
26,maize,80,40,20,5.64
27,maize,80,40,20,5.66
28,maize,80,40,20,5.68
29,maize,80,40,20,5.48
30,maize,80,40,20,5.46
31,maize,80,40,20,5.44
32,maize,80,40,20,5.42
33,maize,80,40,20,5.4
34,maize,80,40,20,5.38
35,maize,80,40,20,5.36
36,maize,80,40,20,5.34
37,maize,80,40,20,5.32
38,chickpea,40,60,80,5.5
39,chickpea,40,60,80,5.52
40,chickpea,40,60,80,5.54
41,chickpea,40,60,80,5.56
42,chickpea,40,60,80,5.58
43,chickpea,40,60,80,5.6
44,chickpea,40,60,80,5.62
45,chickpea,40,60,80,5.64
46,chickpea,40,60,80,5.66
47,chickpea,40,60,80,5.68
48,chickpea,40,60,80,5.48
49,chickpea,40,60,80,5.46
50,chickpea,40,60,80,5.44
51,chickpea,40,60,80,5.42
52,chickpea,40,60,80,5.4
53,chickpea,40,60,80,5.38
54,chickpea,40,60,80,5.36
55,chickpea,40,60,80,5.34
56,chickpea,40,60,80,5.32
57,kidneybeans,20,60,20,5.5
58,kidneybeans,20,60,20,5.52
59,kidneybeans,20,60,20,5.54
60,kidneybeans,20,60,20,5.56
61,kidneybeans,20,60,20,5.58
62,kidneybeans,20,60,20,5.6
63,kidneybeans,20,60,20,5.62
64,kidneybeans,20,60,20,5.64
65,kidneybeans,20,60,20,5.66
66,kidneybeans,20,60,20,5.68
67,kidneybeans,20,60,20,5.48
68,kidneybeans,20,60,20,5.46
69,kidneybeans,20,60,20,5.44
70,kidneybeans,20,60,20,5.42
71,kidneybeans,20,60,20,5.4
72,kidneybeans,20,60,20,5.38
73,kidneybeans,20,60,20,5.36
74,kidneybeans,20,60,20,5.34
75,kidneybeans,20,60,20,5.32
76,pigeonpeas,20,60,20,5.5
77,pigeonpeas,20,60,20,5.52
78,pigeonpeas,20,60,20,5.54
79,pigeonpeas,20,60,20,5.56
80,pigeonpeas,20,60,20,5.58
81,pigeonpeas,20,60,20,5.6
82,pigeonpeas,20,60,20,5.62
83,pigeonpeas,20,60,20,5.64
84,pigeonpeas,20,60,20,5.66
85,pigeonpeas,20,60,20,5.68
86,pigeonpeas,20,60,20,5.48
87,pigeonpeas,20,60,20,5.46
88,pigeonpeas,20,60,20,5.44
89,pigeonpeas,20,60,20,5.42
90,pigeonpeas,20,60,20,5.4
91,pigeonpeas,20,60,20,5.38
